Analyst,Unit,Znum,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Th,Th_U,U,date_238_206,date_2sigma
Wotzlaw,MLX,z2,3070,488,,132.9,0.5,9.7,16.5,6.8,76,23.5,283,104.2,490,109.6,953,196.6,9471,894,1.06,843.3962264,28.308,0.035
Wotzlaw,MLX,z3,5431,488.2,,443,0.89,19.3,35,14.5,156.2,44.6,485,172.2,775,166,1424,281.8,9470,4559,1.76,2590.340909,28.224,0.043
Wotzlaw,MLX,z4,2277,488.2,,71,0.1,7,11.4,4,61.5,18.3,208.3,75,341,71.8,616,127.6,9480,271.4,0.79,343.5443038,28.502,0.051
Wotzlaw,MLX,z5,2026,487.1,0.13,67.2,0.28,5.9,10.1,3.6,50.8,15.3,174.7,65.7,309,67.4,604,131.5,10517,260.9,0.73,357.3972603,28.458,0.03
Wotzlaw,MLX,z6,2581,489,,75.8,0.3,9.5,16,6.5,75,21.7,242.4,85.4,382,80.5,679,140.1,8862,340.4,1.02,333.7254902,28.405,0.042
Wotzlaw,MLX,z7,1455,488,,46.3,0.13,4.4,7.7,2.72,36.7,11.25,129.6,47.5,219.3,47,413,87,9277,152.1,0.77,197.5324675,28.582,0.028
Wotzlaw,MLX,z8,1903,488.7,,43.1,,5.1,9.5,4.7,52.4,15.1,171.6,62.2,286.3,60.7,521,108.6,8953,222.9,0.91,244.9450549,28.655,0.043
Wotzlaw,MLX,z9,2097,487.4,,62.4,0.3,7.3,12.1,4.44,56,16.7,188.3,68.8,313.9,67.7,582,121.2,10201,236,0.75,314.6666667,28.584,0.024
Wotzlaw,MLX,z10,1451,486,1.18,60.5,0.37,3.9,5.68,1.75,28.6,9.08,135.1,43.8,222.4,53,513,118.7,11570,292.4,0.62,471.6129032,28.475,0.022
Wotzlaw,MLX,z11,1097,488,0.01,54.4,0.09,3.1,5.8,2.03,30,9.4,114.2,43.2,207.5,45.6,395,82.4,9532,121.5,0.64,189.84375,28.565,0.03
Wotzlaw,MLX,z12,3181,487,0.42,75.7,0.3,8.3,14.4,5.9,71,23,271.9,103.4,492,108.9,980,214.5,10211,291.1,0.79,368.4810127,28.422,0.039
Wotzlaw,MLX,z13,1638,487,,69.6,,10.5,14.6,5.4,55.3,15,175,60.9,292,64.8,600,130.2,10653,361,0.96,376.0416667,28.359,0.049
Wotzlaw,MLX,z14,1714,487,0.12,68.3,0.23,6.9,11.2,3.7,51.3,15.3,185.1,66.9,317,69.8,610,127.4,10474,230,0.7,328.5714286,28.485,0.037
Wotzlaw,MLX,z15,1342,486,,78.8,,3.7,6.4,1.7,32.2,9.9,143.5,48,247,58.9,557,124,11507,325,0.65,500,28.454,0.028
Wotzlaw,MLX,z16,1221,486,2.3,66.5,0.3,7.5,7,1.8,32,9.4,117,44.9,229,52,484,109,10237,184,0.77,238.961039,28.611,0.043
Wotzlaw,MLX,z17,3254,488,,145,0.7,17.2,28.3,10.7,122,32.6,376,130.7,568,117,958,191,9709,599,0.76,788.1578947,28.428,0.035
Wotzlaw,MLX,z18,2382,487,,167,,9.4,15.8,5.5,69,20.2,238,89.9,420,91.2,801,169,10708,906,1.17,774.3589744,28.241,0.046
Wotzlaw,MLX,z19,2521,488,,167,0.6,11.2,17.4,6.9,73.6,21.6,254,94,445,99.1,859,179,10014,982,1.35,727.4074074,28.232,0.036
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
