crust,SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,V,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
lower,53.4,0.82,16.9,8.57,0.1,7.24,9.59,2.65,0.61,0.1,31,196,11,348,16,68,5,259,8,20,2.4,11,2.8,1.1,3.1,0.48,3.1,0.68,1.9,0.24,1.5,0.25,1.9,0.6,4,1.2,0.2
upper,66.6,0.64,15.4,5.04,0.1,2.48,3.59,3.27,2.8,0.15,14,97,84,320,21,193,12,628,31,63,7.1,27,4.7,1,4,0.7,3.9,0.83,2.3,0.3,1.96,0.31,5.3,0.9,17,10.5,2.7
